Problem size: 11962
Problem[
Clause[~occupies(9, 9, 9), ~occupies(9, 8, 9)]
Clause[~occupies(8, 9, 7), ~occupies(8, 7, 7)]
Clause[~occupies(8, 8, 7), ~occupies(8, 7, 7)]
Clause[~occupies(9, 9, 7), ~occupies(7, 9, 7)]
Clause[~occupies(9, 8, 7), ~occupies(7, 9, 7)]
Clause[~occupies(9, 7, 7), ~occupies(7, 9, 7)]
Clause[~occupies(8, 9, 7), ~occupies(7, 9, 7)]
Clause[~occupies(8, 8, 7), ~occupies(7, 9, 7)]
Clause[~occupies(8, 7, 7), ~occupies(7, 9, 7)]
Clause[~occupies(9, 9, 7), ~occupies(7, 8, 7)]
Clause[~occupies(9, 8, 7), ~occupies(7, 8, 7)]
Clause[~occupies(9, 7, 7), ~occupies(7, 8, 7)]
Clause[~occupies(8, 9, 7), ~occupies(7, 8, 7)]
Clause[~occupies(8, 8, 7), ~occupies(7, 8, 7)]
Clause[~occupies(8, 7, 7), ~occupies(7, 8, 7)]
Clause[~occupies(7, 9, 7), ~occupies(7, 8, 7)]
Clause[~occupies(9, 9, 7), ~occupies(7, 7, 7)]
Clause[~occupies(9, 8, 7), ~occupies(7, 7, 7)]
Clause[~occupies(9, 7, 7), ~occupies(7, 7, 7)]
Clause[~occupies(8, 9, 7), ~occupies(7, 7, 7)]
Clause[~occupies(8, 8, 7), ~occupies(7, 7, 7)]
Clause[~occupies(8, 7, 7), ~occupies(7, 7, 7)]
Clause[~occupies(7, 9, 7), ~occupies(7, 7, 7)]
Clause[~occupies(7, 8, 7), ~occupies(7, 7, 7)]
Clause[~occupies(9, 9, 6), ~occupies(9, 8, 6)]
Clause[~occupies(9, 9, 6), ~occupies(9, 7, 6)]
Clause[~occupies(9, 8, 6), ~occupies(9, 7, 6)]
Clause[~occupies(9, 9, 6), ~occupies(8, 9, 6)]
Clause[~occupies(9, 8, 6), ~occupies(8, 9, 6)]
Clause[~occupies(9, 7, 6), ~occupies(8, 9, 6)]
Clause[~occupies(9, 9, 6), ~occupies(8, 8, 6)]
Clause[~occupies(9, 8, 6), ~occupies(8, 8, 6)]
Clause[~occupies(9, 7, 6), ~occupies(8, 8, 6)]
Clause[~occupies(8, 9, 6), ~occupies(8, 8, 6)]
Clause[~occupies(9, 9, 6), ~occupies(8, 7, 6)]
Clause[~occupies(9, 8, 6), ~occupies(8, 7, 6)]
Clause[~occupies(9, 7, 6), ~occupies(8, 7, 6)]
Clause[~occupies(8, 9, 6), ~occupies(8, 7, 6)]
Clause[~occupies(8, 8, 6), ~occupies(8, 7, 6)]
Clause[~occupies(9, 9, 6), ~occupies(7, 9, 6)]
Clause[~occupies(9, 8, 6), ~occupies(7, 9, 6)]
Clause[~occupies(9, 7, 6), ~occupies(7, 9, 6)]
Clause[~occupies(8, 9, 6), ~occupies(7, 9, 6)]
Clause[~occupies(8, 8, 6), ~occupies(7, 9, 6)]
Clause[~occupies(8, 7, 6), ~occupies(7, 9, 6)]
Clause[~occupies(9, 9, 6), ~occupies(7, 8, 6)]
Clause[~occupies(9, 8, 6), ~occupies(7, 8, 6)]
Clause[~occupies(9, 7, 6), ~occupies(7, 8, 6)]
Clause[~occupies(8, 9, 6), ~occupies(7, 8, 6)]
Clause[~occupies(8, 8, 6), ~occupies(7, 8, 6)]
Clause[~occupies(8, 7, 6), ~occupies(7, 8, 6)]
Clause[~occupies(7, 9, 6), ~occupies(7, 8, 6)]
Clause[~occupies(9, 9, 6), ~occupies(7, 7, 6)]
Clause[~occupies(9, 8, 6), ~occupies(7, 7, 6)]
Clause[~occupies(9, 7, 6), ~occupies(7, 7, 6)]
Clause[~occupies(8, 9, 6), ~occupies(7, 7, 6)]
Clause[~occupies(8, 8, 6), ~occupies(7, 7, 6)]
Clause[~occupies(8, 7, 6), ~occupies(7, 7, 6)]
Clause[~occupies(7, 9, 6), ~occupies(7, 7, 6)]
Clause[~occupies(7, 8, 6), ~occupies(7, 7, 6)]
Clause[~occupies(9, 9, 5), ~occupies(9, 8, 5)]
Clause[~occupies(9, 9, 5), ~occupies(9, 7, 5)]
Clause[~occupies(9, 8, 5), ~occupies(9, 7, 5)]
Clause[~occupies(9, 9, 5), ~occupies(8, 9, 5)]
Clause[~occupies(9, 8, 5), ~occupies(8, 9, 5)]
Clause[~occupies(9, 7, 5), ~occupies(8, 9, 5)]
Clause[~occupies(9, 9, 5), ~occupies(8, 8, 5)]
Clause[~occupies(9, 8, 5), ~occupies(8, 8, 5)]
Clause[~occupies(9, 7, 5), ~occupies(8, 8, 5)]
Clause[~occupies(8, 9, 5), ~occupies(8, 8, 5)]
Clause[~occupies(9, 9, 5), ~occupies(8, 7, 5)]
Clause[~occupies(9, 8, 5), ~occupies(8, 7, 5)]
Clause[~occupies(9, 7, 5), ~occupies(8, 7, 5)]
Clause[~occupies(8, 9, 5), ~occupies(8, 7, 5)]
Clause[~occupies(8, 8, 5), ~occupies(8, 7, 5)]
Clause[~occupies(9, 9, 5), ~occupies(7, 9, 5)]
Clause[~occupies(9, 8, 5), ~occupies(7, 9, 5)]
Clause[~occupies(9, 7, 5), ~occupies(7, 9, 5)]
Clause[~occupies(8, 9, 5), ~occupies(7, 9, 5)]
Clause[~occupies(8, 8, 5), ~occupies(7, 9, 5)]
Clause[~occupies(8, 7, 5), ~occupies(7, 9, 5)]
Clause[~occupies(9, 9, 5), ~occupies(7, 8, 5)]
Clause[~occupies(9, 8, 5), ~occupies(7, 8, 5)]
Clause[~occupies(9, 7, 5), ~occupies(7, 8, 5)]
Clause[~occupies(8, 9, 5), ~occupies(7, 8, 5)]
Clause[~occupies(8, 8, 5), ~occupies(7, 8, 5)]
Clause[~occupies(8, 7, 5), ~occupies(7, 8, 5)]
Clause[~occupies(7, 9, 5), ~occupies(7, 8, 5)]
Clause[~occupies(9, 9, 5), ~occupies(7, 7, 5)]
Clause[~occupies(9, 8, 5), ~occupies(7, 7, 5)]
Clause[~occupies(9, 7, 5), ~occupies(7, 7, 5)]
Clause[~occupies(8, 9, 5), ~occupies(7, 7, 5)]
Clause[~occupies(8, 8, 5), ~occupies(7, 7, 5)]
Clause[~occupies(8, 7, 5), ~occupies(7, 7, 5)]
Clause[~occupies(7, 9, 5), ~occupies(7, 7, 5)]
Clause[~occupies(7, 8, 5), ~occupies(7, 7, 5)]
Clause[~occupies(9, 9, 4), ~occupies(9, 8, 4)]
Clause[~occupies(9, 9, 4), ~occupies(9, 7, 4)]
Clause[~occupies(9, 8, 4), ~occupies(9, 7, 4)]
Clause[~occupies(9, 9, 4), ~occupies(8, 9, 4)]
Clause[~occupies(9, 8, 4), ~occupies(8, 9, 4)]
Clause[~occupies(9, 7, 4), ~occupies(8, 9, 4)]
Clause[~occupies(9, 9, 4), ~occupies(8, 8, 4)]
Clause[~occupies(9, 8, 4), ~occupies(8, 8, 4)]
Clause[~occupies(9, 7, 4), ~occupies(8, 8, 4)]
Clause[~occupies(8, 9, 4), ~occupies(8, 8, 4)]
Clause[~occupies(9, 9, 4), ~occupies(8, 7, 4)]
Clause[~occupies(9, 8, 4), ~occupies(8, 7, 4)]
Clause[~occupies(9, 7, 4), ~occupies(8, 7, 4)]
Clause[~occupies(8, 9, 4), ~occupies(8, 7, 4)]
Clause[~occupies(8, 8, 4), ~occupies(8, 7, 4)]
Clause[~occupies(9, 9, 4), ~occupies(7, 9, 4)]
Clause[~occupies(9, 8, 4), ~occupies(7, 9, 4)]
Clause[~occupies(9, 7, 4), ~occupies(7, 9, 4)]
Clause[~occupies(8, 9, 4), ~occupies(7, 9, 4)]
Clause[~occupies(8, 8, 4), ~occupies(7, 9, 4)]
Clause[~occupies(8, 7, 4), ~occupies(7, 9, 4)]
Clause[~occupies(9, 9, 4), ~occupies(7, 8, 4)]
Clause[~occupies(9, 8, 4), ~occupies(7, 8, 4)]
Clause[~occupies(9, 7, 4), ~occupies(7, 8, 4)]
Clause[~occupies(8, 9, 4), ~occupies(7, 8, 4)]
Clause[~occupies(8, 8, 4), ~occupies(7, 8, 4)]
Clause[~occupies(8, 7, 4), ~occupies(7, 8, 4)]
Clause[~occupies(7, 9, 4), ~occupies(7, 8, 4)]
Clause[~occupies(9, 9, 4), ~occupies(7, 7, 4)]
Clause[~occupies(9, 8, 4), ~occupies(7, 7, 4)]
Clause[~occupies(9, 7, 4), ~occupies(7, 7, 4)]
Clause[~occupies(8, 9, 4), ~occupies(7, 7, 4)]
Clause[~occupies(8, 8, 4), ~occupies(7, 7, 4)]
Clause[~occupies(8, 7, 4), ~occupies(7, 7, 4)]
Clause[~occupies(7, 9, 4), ~occupies(7, 7, 4)]
Clause[~occupies(7, 8, 4), ~occupies(7, 7, 4)]
Clause[~occupies(9, 9, 3), ~occupies(9, 8, 3)]
Clause[~occupies(9, 9, 3), ~occupies(9, 7, 3)]
Clause[~occupies(9, 8, 3), ~occupies(9, 7, 3)]
Clause[~occupies(9, 9, 3), ~occupies(8, 9, 3)]
Clause[~occupies(9, 8, 3), ~occupies(8, 9, 3)]
Clause[~occupies(9, 7, 3), ~occupies(8, 9, 3)]
Clause[~occupies(9, 9, 3), ~occupies(8, 8, 3)]
Clause[~occupies(9, 8, 3), ~occupies(8, 8, 3)]
Clause[~occupies(9, 7, 3), ~occupies(8, 8, 3)]
Clause[~occupies(8, 9, 3), ~occupies(8, 8, 3)]
Clause[~occupies(9, 9, 3), ~occupies(8, 7, 3)]
Clause[~occupies(9, 8, 3), ~occupies(8, 7, 3)]
Clause[~occupies(9, 7, 3), ~occupies(8, 7, 3)]
Clause[~occupies(8, 9, 3), ~occupies(8, 7, 3)]
Clause[~occupies(8, 8, 3), ~occupies(8, 7, 3)]
Clause[~occupies(9, 9, 3), ~occupies(7, 9, 3)]
Clause[~occupies(9, 8, 3), ~occupies(7, 9, 3)]
Clause[~occupies(9, 7, 3), ~occupies(7, 9, 3)]
Clause[~occupies(8, 9, 3), ~occupies(7, 9, 3)]
Clause[~occupies(8, 8, 3), ~occupies(7, 9, 3)]
Clause[~occupies(8, 7, 3), ~occupies(7, 9, 3)]
Clause[~occupies(9, 9, 3), ~occupies(7, 8, 3)]
Clause[~occupies(9, 8, 3), ~occupies(7, 8, 3)]
Clause[~occupies(9, 7, 3), ~occupies(7, 8, 3)]
Clause[~occupies(8, 9, 3), ~occupies(7, 8, 3)]
Clause[~occupies(8, 8, 3), ~occupies(7, 8, 3)]
Clause[~occupies(8, 7, 3), ~occupies(7, 8, 3)]
Clause[~occupies(7, 9, 3), ~occupies(7, 8, 3)]
Clause[~occupies(9, 9, 3), ~occupies(7, 7, 3)]
Clause[~occupies(9, 8, 3), ~occupies(7, 7, 3)]
Clause[~occupies(9, 7, 3), ~occupies(7, 7, 3)]
Clause[~occupies(8, 9, 3), ~occupies(7, 7, 3)]
Clause[~occupies(8, 8, 3), ~occupies(7, 7, 3)]
Clause[~occupies(8, 7, 3), ~occupies(7, 7, 3)]
Clause[~occupies(7, 9, 3), ~occupies(7, 7, 3)]
Clause[~occupies(7, 8, 3), ~occupies(7, 7, 3)]
Clause[~occupies(9, 9, 2), ~occupies(9, 8, 2)]
Clause[~occupies(9, 9, 2), ~occupies(9, 7, 2)]
Clause[~occupies(9, 8, 2), ~occupies(9, 7, 2)]
Clause[~occupies(9, 9, 2), ~occupies(8, 9, 2)]
Clause[~occupies(9, 8, 2), ~occupies(8, 9, 2)]
Clause[~occupies(9, 7, 2), ~occupies(8, 9, 2)]
Clause[~occupies(9, 9, 2), ~occupies(8, 8, 2)]
Clause[~occupies(9, 8, 2), ~occupies(8, 8, 2)]
Clause[~occupies(9, 7, 2), ~occupies(8, 8, 2)]
Clause[~occupies(8, 9, 2), ~occupies(8, 8, 2)]
Clause[~occupies(9, 9, 2), ~occupies(8, 7, 2)]
Clause[~occupies(9, 8, 2), ~occupies(8, 7, 2)]
Clause[~occupies(9, 7, 2), ~occupies(8, 7, 2)]
Clause[~occupies(8, 9, 2), ~occupies(8, 7, 2)]
Clause[~occupies(8, 8, 2), ~occupies(8, 7, 2)]
Clause[~occupies(9, 9, 2), ~occupies(7, 9, 2)]
Clause[~occupies(9, 8, 2), ~occupies(7, 9, 2)]
Clause[~occupies(9, 7, 2), ~occupies(7, 9, 2)]
Clause[~occupies(8, 9, 2), ~occupies(7, 9, 2)]
Clause[~occupies(8, 8, 2), ~occupies(7, 9, 2)]
Clause[~occupies(8, 7, 2), ~occupies(7, 9, 2)]
Clause[~occupies(9, 9, 2), ~occupies(7, 8, 2)]
Clause[~occupies(9, 8, 2), ~occupies(7, 8, 2)]
Clause[~occupies(9, 7, 2), ~occupies(7, 8, 2)]
Clause[~occupies(8, 9, 2), ~occupies(7, 8, 2)]
Clause[~occupies(8, 8, 2), ~occupies(7, 8, 2)]
Clause[~occupies(8, 7, 2), ~occupies(7, 8, 2)]
Clause[~occupies(7, 9, 2), ~occupies(7, 8, 2)]
Clause[~occupies(9, 9, 2), ~occupies(7, 7, 2)]
Clause[~occupies(9, 8, 2), ~occupies(7, 7, 2)]
Clause[~occupies(9, 7, 2), ~occupies(7, 7, 2)]
Clause[~occupies(8, 9, 2), ~occupies(7, 7, 2)]
Clause[~occupies(8, 8, 2), ~occupies(7, 7, 2)]
Clause[~occupies(8, 7, 2), ~occupies(7, 7, 2)]
Clause[~occupies(7, 9, 2), ~occupies(7, 7, 2)]
Clause[~occupies(7, 8, 2), ~occupies(7, 7, 2)]
Clause[~occupies(9, 9, 1), ~occupies(9, 8, 1)]
Clause[~occupies(9, 9, 1), ~occupies(9, 7, 1)]
Clause[~occupies(9, 8, 1), ~occupies(9, 7, 1)]
Clause[~occupies(9, 9, 1), ~occupies(8, 9, 1)]
Clause[~occupies(9, 8, 1), ~occupies(8, 9, 1)]
Clause[~occupies(9, 7, 1), ~occupies(8, 9, 1)]
Clause[~occupies(9, 9, 1), ~occupies(8, 8, 1)]
Clause[~occupies(9, 8, 1), ~occupies(8, 8, 1)]
Clause[~occupies(9, 7, 1), ~occupies(8, 8, 1)]
Clause[~occupies(8, 9, 1), ~occupies(8, 8, 1)]
Clause[~occupies(9, 9, 1), ~occupies(8, 7, 1)]
Clause[~occupies(9, 8, 1), ~occupies(8, 7, 1)]
Clause[~occupies(9, 7, 1), ~occupies(8, 7, 1)]
Clause[~occupies(8, 9, 1), ~occupies(8, 7, 1)]
Clause[~occupies(8, 8, 1), ~occupies(8, 7, 1)]
Clause[~occupies(9, 9, 1), ~occupies(7, 9, 1)]
Clause[~occupies(9, 8, 1), ~occupies(7, 9, 1)]
Clause[~occupies(9, 7, 1), ~occupies(7, 9, 1)]
Clause[~occupies(8, 9, 1), ~occupies(7, 9, 1)]
Clause[~occupies(8, 8, 1), ~occupies(7, 9, 1)]
Clause[~occupies(8, 7, 1), ~occupies(7, 9, 1)]
Clause[~occupies(9, 9, 1), ~occupies(7, 8, 1)]
Clause[~occupies(9, 8, 1), ~occupies(7, 8, 1)]
Clause[~occupies(9, 7, 1), ~occupies(7, 8, 1)]
Clause[~occupies(8, 9, 1), ~occupies(7, 8, 1)]
Clause[~occupies(8, 8, 1), ~occupies(7, 8, 1)]
Clause[~occupies(8, 7, 1), ~occupies(7, 8, 1)]
Clause[~occupies(7, 9, 1), ~occupies(7, 8, 1)]
Clause[~occupies(9, 9, 1), ~occupies(7, 7, 1)]
Clause[~occupies(9, 8, 1), ~occupies(7, 7, 1)]
Clause[~occupies(9, 7, 1), ~occupies(7, 7, 1)]
Clause[~occupies(8, 9, 1), ~occupies(7, 7, 1)]
Clause[~occupies(8, 8, 1), ~occupies(7, 7, 1)]
Clause[~occupies(8, 7, 1), ~occupies(7, 7, 1)]
Clause[~occupies(7, 9, 1), ~occupies(7, 7, 1)]
Clause[~occupies(7, 8, 1), ~occupies(7, 7, 1)]
Clause[~occupies(9, 6, 9), ~occupies(9, 5, 9)]
Clause[~occupies(9, 6, 9), ~occupies(9, 4, 9)]
Clause[~occupies(9, 5, 9), ~occupies(9, 4, 9)]
Clause[~occupies(9, 6, 9), ~occupies(8, 6, 9)]
Clause[~occupies(9, 5, 9), ~occupies(8, 6, 9)]
Clause[~occupies(9, 4, 9), ~occupies(8, 6, 9)]
Clause[~occupies(9, 6, 9), ~occupies(8, 5, 9)]
Clause[~occupies(9, 5, 9), ~occupies(8, 5, 9)]
Clause[~occupies(9, 4, 9), ~occupies(8, 5, 9)]
Clause[~occupies(8, 6, 9), ~occupies(8, 5, 9)]
Clause[~occupies(9, 6, 9), ~occupies(8, 4, 9)]
Clause[~occupies(9, 5, 9), ~occupies(8, 4, 9)]
Clause[~occupies(9, 4, 9), ~occupies(8, 4, 9)]
Clause[~occupies(8, 6, 9), ~occupies(8, 4, 9)]
Clause[~occupies(8, 5, 9), ~occupies(8, 4, 9)]
Clause[~occupies(9, 6, 9), ~occupies(7, 6, 9)]
Clause[~occupies(9, 5, 9), ~occupies(7, 6, 9)]
Clause[~occupies(9, 4, 9), ~occupies(7, 6, 9)]
Clause[~occupies(8, 6, 9), ~occupies(7, 6, 9)]
Clause[~occupies(8, 5, 9), ~occupies(7, 6, 9)]
Clause[~occupies(8, 4, 9), ~occupies(7, 6, 9)]
Clause[~occupies(9, 6, 9), ~occupies(7, 5, 9)]
Clause[~occupies(9, 5, 9), ~occupies(7, 5, 9)]
Clause[~occupies(9, 4, 9), ~occupies(7, 5, 9)]
Clause[~occupies(8, 6, 9), ~occupies(7, 5, 9)]
Clause[~occupies(8, 5, 9), ~occupies(7, 5, 9)]
Clause[~occupies(8, 4, 9), ~occupies(7, 5, 9)]
Clause[~occupies(7, 6, 9), ~occupies(7, 5, 9)]
Clause[~occupies(9, 6, 9), ~occupies(7, 4, 9)]
Clause[~occupies(9, 5, 9), ~occupies(7, 4, 9)]
Clause[~occupies(9, 4, 9), ~occupies(7, 4, 9)]
Clause[~occupies(8, 6, 9), ~occupies(7, 4, 9)]
Clause[~occupies(8, 5, 9), ~occupies(7, 4, 9)]
Clause[~occupies(8, 4, 9), ~occupies(7, 4, 9)]
Clause[~occupies(7, 6, 9), ~occupies(7, 4, 9)]
Clause[~occupies(7, 5, 9), ~occupies(7, 4, 9)]
Clause[~occupies(9, 6, 8), ~occupies(9, 5, 8)]
Clause[~occupies(9, 6, 8), ~occupies(9, 4, 8)]
Clause[~occupies(9, 5, 8), ~occupies(9, 4, 8)]
Clause[~occupies(9, 6, 8), ~occupies(8, 6, 8)]
Clause[~occupies(9, 5, 8), ~occupies(8, 6, 8)]
Clause[~occupies(9, 4, 8), ~occupies(8, 6, 8)]
Clause[~occupies(9, 6, 8), ~occupies(8, 5, 8)]
Clause[~occupies(9, 5, 8), ~occupies(8, 5, 8)]
Clause[~occupies(9, 4, 8), ~occupies(8, 5, 8)]
Clause[~occupies(8, 6, 8), ~occupies(8, 5, 8)]
Clause[~occupies(9, 6, 8), ~occupies(8, 4, 8)]
Clause[~occupies(9, 5, 8), ~occupies(8, 4, 8)]
Clause[~occupies(9, 4, 8), ~occupies(8, 4, 8)]
Clause[~occupies(8, 6, 8), ~occupies(8, 4, 8)]
Clause[~occupies(8, 5, 8), ~occupies(8, 4, 8)]
Clause[~occupies(9, 6, 8), ~occupies(7, 6, 8)]
Clause[~occupies(9, 5, 8), ~occupies(7, 6, 8)]
Clause[~occupies(9, 4, 8), ~occupies(7, 6, 8)]
Clause[~occupies(8, 6, 8), ~occupies(7, 6, 8)]
Clause[~occupies(8, 5, 8), ~occupies(7, 6, 8)]
Clause[~occupies(8, 4, 8), ~occupies(7, 6, 8)]
Clause[~occupies(9, 6, 8), ~occupies(7, 5, 8)]
Clause[~occupies(9, 5, 8), ~occupies(7, 5, 8)]
Clause[~occupies(9, 4, 8), ~occupies(7, 5, 8)]
Clause[~occupies(8, 6, 8), ~occupies(7, 5, 8)]
Clause[~occupies(8, 5, 8), ~occupies(7, 5, 8)]
Clause[~occupies(8, 4, 8), ~occupies(7, 5, 8)]
Clause[~occupies(7, 6, 8), ~occupies(7, 5, 8)]
Clause[~occupies(9, 6, 8), ~occupies(7, 4, 8)]
Clause[~occupies(9, 5, 8), ~occupies(7, 4, 8)]
Clause[~occupies(9, 4, 8), ~occupies(7, 4, 8)]
Clause[~occupies(8, 6, 8), ~occupies(7, 4, 8)]
Clause[~occupies(8, 5, 8), ~occupies(7, 4, 8)]
Clause[~occupies(8, 4, 8), ~occupies(7, 4, 8)]
Clause[~occupies(7, 6, 8), ~occupies(7, 4, 8)]
Clause[~occupies(7, 5, 8), ~occupies(7, 4, 8)]
Clause[~occupies(9, 6, 7), ~occupies(9, 5, 7)]
Clause[~occupies(9, 6, 7), ~occupies(9, 4, 7)]
Clause[~occupies(9, 5, 7), ~occupies(9, 4, 7)]
Clause[~occupies(9, 6, 7), ~occupies(8, 6, 7)]
Clause[~occupies(9, 5, 7), ~occupies(8, 6, 7)]
Clause[~occupies(9, 4, 7), ~occupies(8, 6, 7)]
Clause[~occupies(9, 6, 7), ~occupies(8, 5, 7)]
Clause[~occupies(9, 5, 7), ~occupies(8, 5, 7)]
Clause[~occupies(9, 4, 7), ~occupies(8, 5, 7)]
Clause[~occupies(8, 6, 7), ~occupies(8, 5, 7)]
Clause[~occupies(9, 6, 7), ~occupies(8, 4, 7)]
Clause[~occupies(9, 5, 7), ~occupies(8, 4, 7)]
Clause[~occupies(9, 4, 7), ~occupies(8, 4, 7)]
Clause[~occupies(8, 6, 7), ~occupies(8, 4, 7)]
Clause[~occupies(8, 5, 7), ~occupies(8, 4, 7)]
Clause[~occupies(9, 6, 7), ~occupies(7, 6, 7)]
Clause[~occupies(9, 5, 7), ~occupies(7, 6, 7)]
Clause[~occupies(9, 4, 7), ~occupies(7, 6, 7)]
Clause[~occupies(8, 6, 7), ~occupies(7, 6, 7)]
Clause[~occupies(8, 5, 7), ~occupies(7, 6, 7)]
Clause[~occupies(8, 4, 7), ~occupies(7, 6, 7)]
Clause[~occupies(9, 6, 7), ~occupies(7, 5, 7)]
Clause[~occupies(9, 5, 7), ~occupies(7, 5, 7)]
Clause[~occupies(9, 4, 7), ~occupies(7, 5, 7)]
Clause[~occupies(8, 6, 7), ~occupies(7, 5, 7)]
Clause[~occupies(8, 5, 7), ~occupies(7, 5, 7)]
